class_num,class_length_hours,class_title,compressed_focus,homework_id,homework_observations,homework_source_mix,primary_kcs,class_date
1,2,Data foundations and categorical displays,"Variables, observational units, categorical vs quantitative, frequency/relative-frequency tables, bar charts, segmented bars, and two-way categorical comparisons.",HW1,21,Part A Q1-12; SG_1 selected categorical items; SG_frq1 Q1(a).,KC.U1.01.statistical_context|KC.U1.02.observational_unit_variable|KC.U1.03.variable_type_cat_quant|KC.U1.04.variable_type_discrete_continuous|KC.U1.05.categorical_freq_relative|KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association|KC.U1.08.graph_choice_categorical|KC.U1.27.sample_population_scope,2025-09-05
2,2,"Quantitative displays, summaries, outliers, transformations","Discrete/continuous variables, dotplots, histograms, boxplots, shape, center, spread, IQR, outliers, resistance, and linear transformations.",HW2,24,Part A Q13-18; Part B Q1-12; SG_1 selected summary-statistic items; SG_frq1 Q1(b).,KC.U1.09.quantitative_display_reading|KC.U1.10.histogram_shape_features|KC.U1.11.describe_distribution_socs|KC.U1.12.center_mean_median_mode|KC.U1.13.spread_iqr_range_sd|KC.U1.14.five_number_boxplot|KC.U1.15.outlier_rule|KC.U1.16.resistance_skew_mean_median|KC.U1.17.compare_distributions|KC.U1.18.linear_transformations|KC.U1.25.percentile_quartile_interpretation|KC.U1.26.graph_construction_axes,2025-09-12
3,2,Standardization and normal distributions,"z-scores, empirical rule, normal model appropriateness, normal probabilities, inverse-normal reasoning, and comparing standardized values.",HW3,24,Part B Q13-18; SG_1 selected normal-distribution items; Unit 1 Progress Check FRQ components.,KC.U1.19.z_score_compute_interpret|KC.U1.20.normal_model_appropriateness|KC.U1.21.empirical_rule_sd|KC.U1.22.normal_tail_interval_probability|KC.U1.23.inverse_normal_percentile|KC.U1.24.compare_standardized_values|KC.U1.11.describe_distribution_socs|KC.U1.26.graph_construction_axes,2025-09-19
4,2,Unit 2 compressed: two-variable data and regression,"Two-way tables, conditional distributions, association, scatterplots, correlation, linear regression, residuals, r-squared, outliers/leverage, extrapolation, and transformations.",HW4,39,"Unit 2 Progress Check MCQ Part A selected Q1-Q18; Part B selected Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q16,Q18; Unit 2 Progress Check FRQ Q1-Q2 components.",KC.U2.01.two_way_table_structure|KC.U2.02.marginal_relative_frequency|KC.U2.03.conditional_relative_frequency|KC.U2.04.categorical_association_independence|KC.U2.05.segmented_bar_comparison|KC.U2.06.scatterplot_construction|KC.U2.07.scatterplot_describe_association|KC.U2.08.explanatory_response_variables|KC.U2.09.correlation_properties|KC.U2.10.correlation_interpretation|KC.U2.11.linear_vs_nonlinear_form|KC.U2.12.outliers_leverage_influence|KC.U2.13.least_squares_prediction|KC.U2.14.slope_interpretation|KC.U2.15.intercept_interpretation|KC.U2.16.residual_compute_interpret|KC.U2.17.residual_plot_assess_linearity|KC.U2.18.standard_deviation_residuals|KC.U2.19.coefficient_of_determination|KC.U2.20.regression_extrapolation|KC.U2.21.transformations_linearization,2025-09-26
5,2,Unit 3A: Planning a study — data collection,"Population of interest, census versus sample survey, simple random/stratified/cluster/systematic sampling, convenience and voluntary-response samples, bias, and scope of generalization.",HW5,29,Unit 3 Progress Check MCQ Part A selected items; SG_34 selected Unit 3 data-collection items; Unit 3 Progress Check FRQ Q2 components.,KC.U2.05.segmented_bar_comparison|KC.U3.01.population_of_interest|KC.U3.02.census_vs_sample_survey|KC.U3.03.simple_random_sample|KC.U3.04.stratified_random_sample|KC.U3.05.cluster_sample|KC.U3.06.systematic_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.08.sampling_bias_undercoverage|KC.U3.09.nonresponse_bias|KC.U3.10.response_wording_bias|KC.U3.11.generalization_scope|KC.U3.13.stratification_design_advantage,2025-10-03
6,2,Unit 3B: Planning a study — experimental design,"Experiment versus observational study, treatments, response variables, experimental units, random assignment, control/comparison/replication, completely randomized designs, randomized block designs, matched pairs, blinding/placebo, confounding, causation, and scope of conclusions.",HW6,32,Unit 3 Progress Check MCQ Part A Q3; Unit 3 Progress Check MCQ Part B selected items; SG_34 selected Unit 3 experimental-design items; Unit 3 Progress Check FRQ Q1 components.,KC.U3.03.simple_random_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.11.generalization_scope|KC.U3.14.experiment_vs_observational|KC.U3.15.experimental_units|KC.U3.16.explanatory_response_treatments|KC.U3.17.random_assignment|KC.U3.18.causation_from_experiment|KC.U3.19.control_comparison_replication|KC.U3.20.completely_randomized_design|KC.U3.21.randomized_block_design|KC.U3.22.matched_pairs_design|KC.U3.23.placebo_blinding|KC.U3.24.confounding_variables|KC.U3.25.design_conclusion_scope|KC.U3.26.experimental_design_flaws,2025-10-10
7,2,Unit 4A: Probability foundations and simulation,"Long-run probability, sample spaces, counting outcomes, simulation models, complements, unions/intersections, mutually exclusive events, and introductory conditional probability.",HW7,25,Unit 4 Progress Check MCQ Part A; SG_34 selected Unit 4 probability-foundation items.,KC.U4.01.probability_long_run_interpretation|KC.U4.02.simulation_model_design|KC.U4.03.sample_space_outcomes|KC.U4.04.basic_probability_counting|KC.U4.05.complement_rule|KC.U4.06.union_intersection_addition_rule|KC.U4.07.mutually_exclusive_events|KC.U4.08.conditional_probability|KC.U4.09.two_way_probability_tables|KC.U4.10.multiplication_rule_dependent|KC.U4.32.probability_from_simulation,2025-10-17
8,2,Unit 4B: Conditional and compound probability,"Conditional probability, two-way probability tables, multiplication rule, independent events, tree/path reasoning, Bayes-style base-rate reasoning, and independence versus mutual exclusivity.",HW8,24,Unit 4 Progress Check MCQ Part A/B; SG_34 selected Unit 4 compound-probability and independence items.,KC.U4.06.union_intersection_addition_rule|KC.U4.07.mutually_exclusive_events|KC.U4.08.conditional_probability|KC.U4.09.two_way_probability_tables|KC.U4.10.multiplication_rule_dependent|KC.U4.11.independent_events_probability|KC.U4.12.probability_tree_compound_paths|KC.U4.13.bayes_total_probability|KC.U4.22.joint_distribution_independence,2025-10-24
9,2,Unit 4C: Random variables and expected value,"Random variables, discrete probability distributions, expected value, standard deviation, probability-distribution shape, linear transformations, combining independent random variables, and expected-value decision making.",HW9,30,Unit 4 Progress Check MCQ Part B; Unit 4 Progress Check FRQ Q2 components; SG_34 selected random-variable items.,KC.U4.14.random_variable_definition|KC.U4.15.discrete_probability_distribution|KC.U4.16.expected_value_calculation|KC.U4.17.expected_value_interpretation|KC.U4.18.standard_deviation_random_variable|KC.U4.19.probability_distribution_shape_center|KC.U4.20.linear_transform_random_variable|KC.U4.21.combining_independent_random_variables|KC.U4.33.expected_value_decision_making,2025-10-31
10,2,Unit 4D: Binomial and geometric models,"Binomial conditions, exact and cumulative binomial probabilities, binomial mean and standard deviation, geometric conditions, geometric probability, geometric mean/standard deviation, model assumptions, and simulation-based probability evidence.",HW10,31,Unit 4 Progress Check MCQ Part C; Unit 4 Progress Check FRQ Q1 components; SG_34 selected Unit 4 binomial/geometric items.,KC.U4.02.simulation_model_design|KC.U4.16.expected_value_calculation|KC.U4.23.binomial_conditions|KC.U4.24.binomial_exact_probability|KC.U4.25.binomial_cumulative_probability|KC.U4.26.binomial_mean_sd|KC.U4.27.binomial_formula_interpretation|KC.U4.28.geometric_conditions|KC.U4.29.geometric_probability|KC.U4.30.geometric_mean_sd|KC.U4.31.choose_binomial_vs_geometric|KC.U4.32.probability_from_simulation|KC.U4.34.model_assumptions_independence_trials,2025-11-07
11,2,"Unit 5A: Normal models, simulation, and estimators","Normal model review, probability for individual observations, simulation of sampling distributions, point estimators, unbiasedness, and estimator variability.",HW11,18,Unit 5 Progress Check MCQ Part A Q1-Q15; Unit 5 Progress Check FRQ Q2 selected components.,KC.U5.01.normal_model_percentile_interval|KC.U5.02.normal_model_probability|KC.U5.03.normal_model_appropriateness|KC.U5.04.simulation_sampling_distribution|KC.U5.05.sample_size_effect_variability|KC.U5.06.point_estimator_statistic_parameter|KC.U5.07.unbiased_estimator|KC.U5.08.estimator_variability_efficiency,2025-11-14
12,2,Unit 5B: Sampling distributions for proportions,"Sampling distributions of sample proportions and differences in sample proportions; means, standard errors, normal conditions, and probability calculations.",HW12,18,Unit 5 Progress Check MCQ Part B Q1-Q12; Unit 5 Progress Check FRQ Q1 components.,KC.U5.09.sample_proportion_mean|KC.U5.10.sample_proportion_standard_error|KC.U5.11.sample_proportion_normal_conditions|KC.U5.12.sample_proportion_probability|KC.U5.13.difference_sample_proportions_mean|KC.U5.14.difference_sample_proportions_standard_error|KC.U5.15.difference_sample_proportions_normal_conditions|KC.U5.16.difference_sample_proportions_probability,2025-11-21
13,2,Unit 5C: Sampling distributions for means,"Sampling distributions of sample means and differences in sample means; CLT, standard error, normal conditions, probability statements, and units.",HW13,16,Unit 5 Progress Check MCQ Part C Q1-Q12; Unit 5 Progress Check FRQ Q2 selected components.,KC.U5.17.sample_mean_mean|KC.U5.18.sample_mean_standard_error|KC.U5.19.clt_sample_mean_shape|KC.U5.20.sample_mean_probability|KC.U5.21.difference_sample_means_mean|KC.U5.22.difference_sample_means_standard_error|KC.U5.23.difference_sample_means_normal_conditions|KC.U5.24.difference_sample_means_units|KC.U5.25.statistic_sampling_distribution_interpretation|KC.U5.26.compare_individual_vs_sample_statistic,2025-11-28
14,2,Unit 6A: Estimating a population proportion,"One-sample z-interval for a population proportion, conditions for inference, standard error, margin of error, confidence level interpretation, and using intervals to assess claims.",HW14,16,Unit 6 Progress Check MCQ Part A Q1-Q12; Unit 6 Progress Check FRQ Q1 components.,KC.U3.08.sampling_bias_undercoverage|KC.U5.10.sample_proportion_standard_error|KC.U5.11.sample_proportion_normal_conditions|KC.U6.02.one_prop_ci_procedure_selection|KC.U6.03.sample_proportion_se_for_inference|KC.U6.04.one_prop_ci_conditions|KC.U6.05.critical_value_confidence_level|KC.U6.06.one_prop_ci_compute|KC.U6.07.one_prop_ci_interpret|KC.U6.08.margin_error_width_sample_size|KC.U6.09.ci_claim_plausibility|KC.U6.10.confidence_level_long_run_interpretation|KC.U6.33.parameter_statistic_inference_language,2025-12-05
15,2,Unit 6B: Testing a population proportion,"One-sample z-test for a population proportion, hypotheses, null-based standard error, test statistic, p-value interpretation, decision, conclusion, and confidence-interval/test connection.",HW15,17,Unit 6 Progress Check MCQ Part B Q1-Q15; Unit 6 Progress Check FRQ Q2(a-b) components.,KC.U5.11.sample_proportion_normal_conditions|KC.U6.07.one_prop_ci_interpret|KC.U6.09.ci_claim_plausibility|KC.U6.11.one_prop_test_procedure_selection|KC.U6.12.one_prop_hypotheses|KC.U6.13.one_prop_test_conditions|KC.U6.14.one_prop_test_statistic|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.17.ci_test_connection_one_prop|KC.U6.18.type_i_error|KC.U6.20.significance_level_alpha|KC.U6.33.parameter_statistic_inference_language,2025-12-12
16,2,"Unit 6C: Errors, power, and two-proportion intervals","Type I and Type II errors, significance level, power, alpha-beta tradeoffs, and two-sample z-intervals for differences in population proportions.",HW16,19,Unit 6 Progress Check MCQ Part C Q1-Q14; Unit 6 Progress Check MCQ Part D Q1-Q5.,KC.U6.10.confidence_level_long_run_interpretation|KC.U6.18.type_i_error|KC.U6.19.type_ii_error|KC.U6.20.significance_level_alpha|KC.U6.21.power_beta_relationship|KC.U6.22.alpha_beta_tradeoff|KC.U6.23.two_prop_ci_procedure_selection|KC.U6.24.two_prop_inference_conditions|KC.U6.25.two_prop_ci_standard_error|KC.U6.26.two_prop_ci_compute_interpret|KC.U6.27.two_prop_ci_plausibility_difference|KC.U6.33.parameter_statistic_inference_language,2025-12-19
17,2,Unit 6D: Two-proportion tests and inference synthesis,"Two-sample z-tests for differences in population proportions, hypotheses, pooled proportion, conditions, test statistic, p-value, conclusion, and one-sided CI/test synthesis.",HW17,16,Unit 6 Progress Check MCQ Part D Q6-Q18; Unit 6 Progress Check FRQ Q2(c-d) components.,KC.U6.05.critical_value_confidence_level|KC.U6.06.one_prop_ci_compute|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.17.ci_test_connection_one_prop|KC.U6.20.significance_level_alpha|KC.U6.24.two_prop_inference_conditions|KC.U6.26.two_prop_ci_compute_interpret|KC.U6.27.two_prop_ci_plausibility_difference|KC.U6.28.two_prop_test_procedure_selection|KC.U6.29.two_prop_hypotheses|KC.U6.30.pooled_proportion_test_se|KC.U6.31.two_prop_test_statistic_pvalue|KC.U6.32.two_prop_test_conclusion|KC.U6.33.parameter_statistic_inference_language,2026-01-02
18,2,Unit 7A: Inference for one mean,"t distribution, standard error, one-sample and matched-pairs confidence intervals for means, conditions, interval interpretation, and generalization scope.",HW18,18,Unit 7 Progress Check MCQ Part A Q1-Q14; Unit 7 Progress Check FRQ Q2 components.,KC.U3.03.simple_random_sample|KC.U3.11.generalization_scope|KC.U7.01.mean_inference_procedure_selection|KC.U7.02.t_distribution_degrees_freedom|KC.U7.03.standard_error_mean|KC.U7.04.one_sample_t_interval_conditions|KC.U7.05.one_sample_t_interval_compute|KC.U7.06.t_interval_interpretation|KC.U7.07.ci_width_sample_size_confidence|KC.U7.08.matched_pairs_interval_procedure|KC.U7.09.generalization_scope_quantitative_inference|KC.U7.28.parameter_statistic_mean_inference_language,2026-01-09
19,2,Unit 7B: Tests for one mean and matched pairs,"One-sample and matched-pairs t-tests, hypotheses for means, conditions, test statistics, p-values, and contextual conclusions.",HW19,12,Unit 7 Progress Check MCQ Part B Q1-Q12.,KC.U3.03.simple_random_sample|KC.U7.01.mean_inference_procedure_selection|KC.U7.03.standard_error_mean|KC.U7.10.one_sample_t_test_procedure_selection|KC.U7.11.matched_pairs_t_test_procedure_selection|KC.U7.12.mean_hypotheses|KC.U7.13.t_test_conditions|KC.U7.14.t_test_statistic_mean|KC.U7.15.p_value_interpretation_mean|KC.U7.16.t_test_decision_conclusion|KC.U7.17.test_not_appropriate_skew_small_sample|KC.U7.28.parameter_statistic_mean_inference_language,2026-01-16
20,2,Unit 7C: Two-sample means and multiple comparisons,"Two-sample t intervals and tests for differences in means, interval claim evaluation, test conclusions, family error rate, and alpha adjustment.",HW20,22,Unit 7 Progress Check MCQ Part C Q1-Q18; Unit 7 Progress Check FRQ Q1 components.,KC.U3.03.simple_random_sample|KC.U4.05.complement_rule|KC.U6.10.confidence_level_long_run_interpretation|KC.U6.18.type_i_error|KC.U6.20.significance_level_alpha|KC.U7.01.mean_inference_procedure_selection|KC.U7.03.standard_error_mean|KC.U7.07.ci_width_sample_size_confidence|KC.U7.17.test_not_appropriate_skew_small_sample|KC.U7.19.two_sample_t_interval_conditions|KC.U7.20.two_sample_t_interval_compute_interpret|KC.U7.21.two_sample_t_interval_claim_plausibility|KC.U7.22.two_sample_t_test_procedure_selection|KC.U7.23.two_sample_t_hypotheses|KC.U7.24.two_sample_t_test_statistic_pvalue|KC.U7.25.two_sample_t_test_conclusion|KC.U7.26.family_error_rate_multiple_tests|KC.U7.27.multiple_comparisons_alpha_adjustment|KC.U7.28.parameter_statistic_mean_inference_language,2026-01-23
21,2,Unit 8A: Chi-square goodness-of-fit tests,"Goodness-of-fit procedure selection, hypotheses, expected counts, conditions, chi-square statistic, p-values, and contextual conclusions.",HW21,16,Unit 8 Progress Check MCQ Part A Q1-Q16.,KC.U8.01.categorical_count_data_structure|KC.U8.02.gof_procedure_selection|KC.U8.03.gof_null_alternative_hypotheses|KC.U8.04.gof_expected_counts|KC.U8.05.gof_conditions|KC.U8.06.gof_degrees_freedom|KC.U8.07.gof_test_statistic_contributions|KC.U8.08.gof_p_value_interpretation|KC.U8.09.gof_decision_conclusion|KC.U8.10.chi_square_distribution_shape|KC.U8.11.gof_uniform_distribution_application,2026-01-30
22,2,Unit 8B: Chi-square tests for two-way tables,"Chi-square homogeneity and independence tests, expected counts, conditions, degrees of freedom, p-values, conclusions, and generalization scope.",HW22,22,Unit 8 Progress Check MCQ Part B Q1-Q15; Unit 8 Progress Check FRQ Q1-Q2 components.,KC.U8.12.two_way_expected_counts|KC.U8.13.homogeneity_procedure_selection|KC.U8.14.independence_procedure_selection|KC.U8.15.homogeneity_vs_independence_distinction|KC.U8.16.homogeneity_hypotheses|KC.U8.17.independence_hypotheses|KC.U8.18.two_way_chi_square_conditions|KC.U8.19.two_way_degrees_freedom|KC.U8.20.two_way_test_statistic|KC.U8.21.two_way_p_value_interpretation|KC.U8.22.two_way_decision_conclusion|KC.U8.23.generalization_scope_chi_square,2026-02-06
23,2,Unit 9A: Regression inference prerequisites and slope intervals,"Linear regression inference procedure selection, regression-output interpretation, slope confidence interval formulas, margin of error, residual-plot diagnostics, and sample-size effects on interval width.",HW23,14,Unit 9 Progress Check MCQ Part A Q1-Q8; Unit 2 regression diagnostics review items.,KC.U9.01.regression_inference_procedure_selection|KC.U9.03.regression_output_slope_se_df|KC.U9.04.slope_ci_critical_value_margin_error|KC.U9.05.slope_ci_compute|KC.U9.08.regression_linearity_condition|KC.U9.10.regression_equal_variance_condition|KC.U9.11.regression_residual_normality_condition|KC.U9.12.slope_interval_width_sample_size,2026-02-13
