class_num,class_length_hours,class_title,compressed_focus,homework_id,homework_observations,homework_source_mix,primary_kcs,class_date
24,2,Unit 9B: Tests for regression slope,"Confidence interval interpretation for slope, claim evaluation, linear regression t-test procedure selection, hypotheses for beta_1, equal-variance and normal-residual checks, and slope t-statistic calculations.",HW24,12,Unit 9 Progress Check MCQ Part A Q9-Q12; Unit 9 Progress Check MCQ Part B Q1-Q8.,KC.U9.06.slope_ci_interpret_context|KC.U9.07.slope_ci_claim_evaluation|KC.U9.13.slope_test_procedure_selection|KC.U9.14.slope_test_hypotheses|KC.U9.15.slope_test_statistic_df|KC.U9.10.regression_equal_variance_condition|KC.U9.11.regression_residual_normality_condition,2026-02-20
25,2,Unit 9C: Full regression inference synthesis,"Regression slope p-value interpretation, test decisions and conclusions, full FRQ-style slope inference, scatterplot and least-squares modeling, and interpretation/scope of regression inference.",HW25,15,Unit 9 Progress Check MCQ Part B Q9-Q12; Unit 9 Progress Check FRQ Q1; Unit 2 regression synthesis review items.,KC.U9.16.slope_test_pvalue_interpret|KC.U9.17.slope_test_decision_conclusion|KC.U9.18.scatterplot_for_regression_inference|KC.U9.19.lsrl_equation_from_data|KC.U9.20.regression_inference_scope_and_prediction_language|KC.U9.14.slope_test_hypotheses,2026-02-27
26,2,Unit 10A: Bootstrapping and effect size,"Bootstrap purpose and mechanics, bootstrap distributions, percentile intervals, limitations of resampling, and effect-size interpretation.",HW26,23,Generated MCQs and short-answer components from the Unit 10 bootstrapping/Cohen's d guide and the Emma bootstrap FRQ.,KC.U1.12.center_mean_median_mode|KC.U1.16.resistance_skew_mean_median|KC.U1.27.sample_population_scope|KC.U10.01.bootstrap_purpose_sampling_distribution|KC.U10.02.bootstrap_resampling_with_replacement|KC.U10.03.bootstrap_same_sample_size|KC.U10.04.bootstrap_distribution_of_statistic|KC.U10.05.bootstrap_percentile_cutoffs|KC.U10.06.bootstrap_percentile_interval_construct|KC.U10.07.bootstrap_interval_interpret_context|KC.U10.08.bootstrap_limitations_bias_representativeness|KC.U10.09.bootstrap_vs_randomization_test|KC.U10.10.cohens_d_compute_effect_size|KC.U10.11.cohens_d_interpret_practical_importance|KC.U3.11.generalization_scope|KC.U5.04.simulation_sampling_distribution|KC.U5.25.statistic_sampling_distribution_interpretation|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U7.22.two_sample_t_test_procedure_selection,2026-03-06
27,2,Unit 10B: Power of test and Type II error,"Power definition, Type II error, beta, rejection-region power calculations, factors affecting power, and alpha-beta tradeoffs.",HW27,23,"Generated MCQs and short-answer components from the Unit 10 Part 2 power guide, Unit 6 error/power items, and 2025 Q5.",KC.U10.12.power_definition|KC.U10.13.type_ii_error_context_extension|KC.U10.14.power_beta_relationship_extension|KC.U10.15.rejection_region_power_calculation|KC.U10.16.factors_affecting_power|KC.U10.17.power_specific_alternative|KC.U10.18.alpha_beta_power_tradeoff_context|KC.U5.05.sample_size_effect_variability|KC.U5.20.sample_mean_probability|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.18.type_i_error|KC.U6.19.type_ii_error|KC.U6.20.significance_level_alpha|KC.U6.21.power_beta_relationship|KC.U6.22.alpha_beta_tradeoff|KC.U7.12.mean_hypotheses,2026-03-13
ME1,2,Midterm Exam 1: Units 1 and 2 checkpoint,Cumulative checkpoint covering Unit 1 one-variable data and Unit 2 two-variable data/regression.,ME1,42,30 MCQs + 12 FRQ components from uploaded Unit 1 and Unit 2 sources.,KC.U1.02.observational_unit_variable|KC.U1.03.variable_type_cat_quant|KC.U1.04.variable_type_discrete_continuous|KC.U1.05.categorical_freq_relative|KC.U1.10.histogram_shape_features|KC.U1.11.describe_distribution_socs|KC.U1.12.center_mean_median_mode|KC.U1.13.spread_iqr_range_sd|KC.U1.15.outlier_rule|KC.U1.16.resistance_skew_mean_median|KC.U1.18.linear_transformations|KC.U1.19.z_score_compute_interpret|KC.U1.20.normal_model_appropriateness|KC.U1.21.empirical_rule_sd|KC.U1.22.normal_tail_interval_probability|KC.U1.24.compare_standardized_values|KC.U1.26.graph_construction_axes|KC.U2.01.two_way_table_structure|KC.U2.02.marginal_relative_frequency|KC.U2.03.conditional_relative_frequency|KC.U2.04.categorical_association_independence|KC.U2.05.segmented_bar_comparison|KC.U2.06.scatterplot_construction|KC.U2.07.scatterplot_describe_association|KC.U2.09.correlation_properties|KC.U2.10.correlation_interpretation|KC.U2.11.linear_vs_nonlinear_form|KC.U2.12.outliers_leverage_influence|KC.U2.13.least_squares_prediction|KC.U2.14.slope_interpretation|KC.U2.16.residual_compute_interpret|KC.U2.17.residual_plot_assess_linearity|KC.U2.19.coefficient_of_determination|KC.U2.20.regression_extrapolation,2025-09-28
ME2,2,Midterm Exam 2: Units 3 and 4 checkpoint,"Cumulative checkpoint covering Unit 3 study design and Unit 4 probability, with particular emphasis on simulation, conditional probability, random variables, expected value, binomial models, and geometric models.",ME2,42,30 MCQs + 12 FRQ components from uploaded Unit 3 and Unit 4 sources.,KC.U3.01.population_of_interest|KC.U3.03.simple_random_sample|KC.U3.04.stratified_random_sample|KC.U3.05.cluster_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.11.generalization_scope|KC.U3.18.causation_from_experiment|KC.U3.21.randomized_block_design|KC.U3.22.matched_pairs_design|KC.U4.01.probability_long_run_interpretation|KC.U4.03.sample_space_outcomes|KC.U4.05.complement_rule|KC.U4.06.union_intersection_addition_rule|KC.U4.07.mutually_exclusive_events|KC.U4.08.conditional_probability|KC.U4.10.multiplication_rule_dependent|KC.U4.11.independent_events_probability|KC.U4.12.probability_tree_compound_paths|KC.U4.15.discrete_probability_distribution|KC.U4.16.expected_value_calculation|KC.U4.17.expected_value_interpretation|KC.U4.18.standard_deviation_random_variable|KC.U4.23.binomial_conditions|KC.U4.24.binomial_exact_probability|KC.U4.25.binomial_cumulative_probability|KC.U4.28.geometric_conditions|KC.U4.29.geometric_probability|KC.U4.30.geometric_mean_sd|KC.U4.32.probability_from_simulation|KC.U4.33.expected_value_decision_making,2025-11-09
ME3,2,Midterm Exam 3: cumulative Units 1-6 checkpoint,"Large cumulative checkpoint covering all material through Unit 6, with emphasis on Unit 4 probability, Unit 5 sampling distributions, and Unit 6 proportion inference.",ME3,60,42 MCQs + 18 FRQ components from uploaded Unit 1-6 sources.,KC.U1.13.spread_iqr_range_sd|KC.U1.15.outlier_rule|KC.U1.19.z_score_compute_interpret|KC.U1.22.normal_tail_interval_probability|KC.U1.23.inverse_normal_percentile|KC.U1.25.percentile_quartile_interpretation|KC.U2.01.two_way_table_structure|KC.U2.03.conditional_relative_frequency|KC.U2.04.categorical_association_independence|KC.U2.05.segmented_bar_comparison|KC.U2.09.correlation_properties|KC.U2.17.residual_plot_assess_linearity|KC.U2.19.coefficient_of_determination|KC.U3.03.simple_random_sample|KC.U3.05.cluster_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.08.sampling_bias_undercoverage|KC.U3.10.response_wording_bias|KC.U3.11.generalization_scope|KC.U3.14.experiment_vs_observational|KC.U3.17.random_assignment|KC.U3.18.causation_from_experiment|KC.U3.20.completely_randomized_design|KC.U3.22.matched_pairs_design|KC.U3.25.design_conclusion_scope|KC.U4.01.probability_long_run_interpretation|KC.U4.03.sample_space_outcomes|KC.U4.04.basic_probability_counting|KC.U4.05.complement_rule|KC.U4.06.union_intersection_addition_rule|KC.U4.08.conditional_probability|KC.U4.10.multiplication_rule_dependent|KC.U4.11.independent_events_probability|KC.U4.16.expected_value_calculation|KC.U4.17.expected_value_interpretation|KC.U4.23.binomial_conditions|KC.U4.24.binomial_exact_probability|KC.U4.25.binomial_cumulative_probability|KC.U4.26.binomial_mean_sd|KC.U4.28.geometric_conditions|KC.U4.29.geometric_probability|KC.U4.30.geometric_mean_sd|KC.U4.31.choose_binomial_vs_geometric|KC.U4.32.probability_from_simulation|KC.U5.02.normal_model_probability|KC.U5.04.simulation_sampling_distribution|KC.U5.05.sample_size_effect_variability|KC.U5.08.estimator_variability_efficiency|KC.U5.09.sample_proportion_mean|KC.U5.11.sample_proportion_normal_conditions|KC.U5.13.difference_sample_proportions_mean|KC.U5.14.difference_sample_proportions_standard_error|KC.U5.15.difference_sample_proportions_normal_conditions|KC.U5.16.difference_sample_proportions_probability|KC.U5.17.sample_mean_mean|KC.U5.18.sample_mean_standard_error|KC.U5.19.clt_sample_mean_shape|KC.U5.20.sample_mean_probability|KC.U5.22.difference_sample_means_standard_error|KC.U5.25.statistic_sampling_distribution_interpretation|KC.U5.26.compare_individual_vs_sample_statistic|KC.U6.02.one_prop_ci_procedure_selection|KC.U6.03.sample_proportion_se_for_inference|KC.U6.04.one_prop_ci_conditions|KC.U6.05.critical_value_confidence_level|KC.U6.06.one_prop_ci_compute|KC.U6.07.one_prop_ci_interpret|KC.U6.09.ci_claim_plausibility|KC.U6.10.confidence_level_long_run_interpretation|KC.U6.12.one_prop_hypotheses|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.17.ci_test_connection_one_prop|KC.U6.18.type_i_error|KC.U6.19.type_ii_error|KC.U6.21.power_beta_relationship|KC.U6.25.two_prop_ci_standard_error|KC.U6.26.two_prop_ci_compute_interpret|KC.U6.28.two_prop_test_procedure_selection|KC.U6.30.pooled_proportion_test_se|KC.U6.31.two_prop_test_statistic_pvalue|KC.U6.33.parameter_statistic_inference_language,2026-01-04
ME4,2,Midterm Exam 4: hypothesis tests checkpoint,"Cumulative checkpoint focused on hypothesis tests: one-proportion and two-proportion z-tests, one-sample, paired, and two-sample t-tests, Type I/II errors and power, and chi-square goodness-of-fit, homogeneity, and independence tests.",ME4,55,35 MCQs from Unit 6-8 Progress Checks + 20 short-answer components from AP_Stats_Hypothesis Test.pdf.,KC.U6.11.one_prop_test_procedure_selection|KC.U6.12.one_prop_hypotheses|KC.U6.13.one_prop_test_conditions|KC.U6.14.one_prop_test_statistic|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.18.type_i_error|KC.U6.19.type_ii_error|KC.U6.20.significance_level_alpha|KC.U6.21.power_beta_relationship|KC.U6.22.alpha_beta_tradeoff|KC.U6.28.two_prop_test_procedure_selection|KC.U6.31.two_prop_test_statistic_pvalue|KC.U7.10.one_sample_t_test_procedure_selection|KC.U7.11.matched_pairs_t_test_procedure_selection|KC.U7.12.mean_hypotheses|KC.U7.13.t_test_conditions|KC.U7.17.test_not_appropriate_skew_small_sample|KC.U7.14.t_test_statistic_mean|KC.U7.15.p_value_interpretation_mean|KC.U7.16.t_test_decision_conclusion|KC.U7.22.two_sample_t_test_procedure_selection|KC.U7.24.two_sample_t_test_statistic_pvalue|KC.U8.02.gof_procedure_selection|KC.U8.03.gof_null_alternative_hypotheses|KC.U8.04.gof_expected_counts|KC.U8.05.gof_conditions|KC.U8.08.gof_p_value_interpretation|KC.U8.09.gof_decision_conclusion|KC.U8.13.homogeneity_procedure_selection|KC.U8.14.independence_procedure_selection|KC.U8.17.independence_hypotheses|KC.U8.20.two_way_test_statistic|KC.U6.29.two_prop_hypotheses|KC.U6.30.pooled_proportion_test_se|KC.U6.32.two_prop_test_conclusion|KC.U7.23.two_sample_t_hypotheses|KC.U7.19.two_sample_t_interval_conditions|KC.U7.25.two_sample_t_test_conclusion|KC.U8.18.two_way_chi_square_conditions|KC.U8.22.two_way_decision_conclusion,2026-02-08
MF1,3,Mock Final Exam 1: full-course practice exam,"Full AP-style cumulative mock final with 40 MCQs, five free-response questions, and one investigative question. Covers the full course with balanced representation across descriptive statistics, design, probability, sampling distributions, inference, chi-square, regression, bootstrapping, and power.",MF1,60,40 MCQs + 20 FRQ/investigative rubric components drawn from uploaded sample final-exam materials.,KC.U1.05.categorical_freq_relative|KC.U1.09.quantitative_display_reading|KC.U1.10.histogram_shape_features|KC.U1.11.describe_distribution_socs|KC.U1.12.center_mean_median_mode|KC.U1.13.spread_iqr_range_sd|KC.U1.14.five_number_boxplot|KC.U1.15.outlier_rule|KC.U1.16.resistance_skew_mean_median|KC.U1.17.compare_distributions|KC.U1.18.linear_transformations|KC.U1.19.z_score_compute_interpret|KC.U1.21.empirical_rule_sd|KC.U1.23.inverse_normal_percentile|KC.U1.25.percentile_quartile_interpretation|KC.U1.27.sample_population_scope|KC.U10.01.bootstrap_purpose_sampling_distribution|KC.U10.02.bootstrap_resampling_with_replacement|KC.U10.03.bootstrap_same_sample_size|KC.U10.04.bootstrap_distribution_of_statistic|KC.U10.05.bootstrap_percentile_cutoffs|KC.U10.06.bootstrap_percentile_interval_construct|KC.U10.07.bootstrap_interval_interpret_context|KC.U10.08.bootstrap_limitations_bias_representativeness|KC.U2.02.marginal_relative_frequency|KC.U2.04.categorical_association_independence|KC.U2.05.segmented_bar_comparison|KC.U2.14.slope_interpretation|KC.U3.01.population_of_interest|KC.U3.03.simple_random_sample|KC.U3.04.stratified_random_sample|KC.U3.05.cluster_sample|KC.U3.11.generalization_scope|KC.U3.16.explanatory_response_treatments|KC.U3.17.random_assignment|KC.U3.20.completely_randomized_design|KC.U3.21.randomized_block_design|KC.U4.10.multiplication_rule_dependent|KC.U4.11.independent_events_probability|KC.U4.23.binomial_conditions|KC.U4.26.binomial_mean_sd|KC.U4.28.geometric_conditions|KC.U4.29.geometric_probability|KC.U5.01.normal_model_percentile_interval|KC.U5.02.normal_model_probability|KC.U5.03.normal_model_appropriateness|KC.U5.13.difference_sample_proportions_mean|KC.U5.14.difference_sample_proportions_standard_error|KC.U5.15.difference_sample_proportions_normal_conditions|KC.U5.16.difference_sample_proportions_probability|KC.U5.17.sample_mean_mean|KC.U5.18.sample_mean_standard_error|KC.U5.19.clt_sample_mean_shape|KC.U5.25.statistic_sampling_distribution_interpretation|KC.U6.02.one_prop_ci_procedure_selection|KC.U6.03.sample_proportion_se_for_inference|KC.U6.04.one_prop_ci_conditions|KC.U6.05.critical_value_confidence_level|KC.U6.06.one_prop_ci_compute|KC.U6.07.one_prop_ci_interpret|KC.U6.08.margin_error_width_sample_size|KC.U6.09.ci_claim_plausibility|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.17.ci_test_connection_one_prop|KC.U6.19.type_ii_error|KC.U6.20.significance_level_alpha|KC.U6.28.two_prop_test_procedure_selection|KC.U7.10.one_sample_t_test_procedure_selection|KC.U7.11.matched_pairs_t_test_procedure_selection|KC.U7.12.mean_hypotheses|KC.U7.14.t_test_statistic_mean|KC.U7.15.p_value_interpretation_mean|KC.U7.16.t_test_decision_conclusion|KC.U7.20.two_sample_t_interval_compute_interpret|KC.U7.21.two_sample_t_interval_claim_plausibility|KC.U7.22.two_sample_t_test_procedure_selection|KC.U7.25.two_sample_t_test_conclusion|KC.U7.26.family_error_rate_multiple_tests|KC.U7.27.multiple_comparisons_alpha_adjustment|KC.U8.13.homogeneity_procedure_selection|KC.U8.16.homogeneity_hypotheses|KC.U8.18.two_way_chi_square_conditions|KC.U8.20.two_way_test_statistic|KC.U8.21.two_way_p_value_interpretation|KC.U8.22.two_way_decision_conclusion|KC.U9.08.regression_linearity_condition|KC.U9.14.slope_test_hypotheses|KC.U9.16.slope_test_pvalue_interpret|KC.U9.17.slope_test_decision_conclusion|KC.U9.18.scatterplot_for_regression_inference|KC.U9.19.lsrl_equation_from_data,2026-03-27
MF2,3,Mock Final Exam 2: full-course practice exam,"Second AP-style cumulative mock final with 40 MCQs, five free-response questions, and one investigative question. Provides a second checkpoint for all-course mastery and final-exam readiness.",MF2,60,40 MCQs + 20 FRQ/investigative rubric components drawn from uploaded sample final-exam materials.,KC.U1.03.variable_type_cat_quant|KC.U1.04.variable_type_discrete_continuous|KC.U1.05.categorical_freq_relative|KC.U1.06.categorical_bar_pie_segmented|KC.U1.09.quantitative_display_reading|KC.U1.11.describe_distribution_socs|KC.U1.12.center_mean_median_mode|KC.U1.13.spread_iqr_range_sd|KC.U1.14.five_number_boxplot|KC.U1.17.compare_distributions|KC.U1.18.linear_transformations|KC.U1.19.z_score_compute_interpret|KC.U1.22.normal_tail_interval_probability|KC.U1.24.compare_standardized_values|KC.U1.25.percentile_quartile_interpretation|KC.U1.26.graph_construction_axes|KC.U10.01.bootstrap_purpose_sampling_distribution|KC.U10.09.bootstrap_vs_randomization_test|KC.U10.12.power_definition|KC.U10.14.power_beta_relationship_extension|KC.U2.01.two_way_table_structure|KC.U2.02.marginal_relative_frequency|KC.U2.12.outliers_leverage_influence|KC.U2.14.slope_interpretation|KC.U2.17.residual_plot_assess_linearity|KC.U3.03.simple_random_sample|KC.U3.04.stratified_random_sample|KC.U3.05.cluster_sample|KC.U3.11.generalization_scope|KC.U3.15.experimental_units|KC.U3.16.explanatory_response_treatments|KC.U3.19.control_comparison_replication|KC.U3.22.matched_pairs_design|KC.U3.23.placebo_blinding|KC.U3.25.design_conclusion_scope|KC.U3.26.experimental_design_flaws|KC.U4.01.probability_long_run_interpretation|KC.U4.02.simulation_model_design|KC.U4.03.sample_space_outcomes|KC.U4.08.conditional_probability|KC.U4.09.two_way_probability_tables|KC.U4.16.expected_value_calculation|KC.U4.17.expected_value_interpretation|KC.U4.23.binomial_conditions|KC.U4.24.binomial_exact_probability|KC.U4.27.binomial_formula_interpretation|KC.U4.28.geometric_conditions|KC.U4.30.geometric_mean_sd|KC.U5.01.normal_model_percentile_interval|KC.U5.02.normal_model_probability|KC.U5.14.difference_sample_proportions_standard_error|KC.U5.15.difference_sample_proportions_normal_conditions|KC.U5.17.sample_mean_mean|KC.U5.18.sample_mean_standard_error|KC.U6.01.population_proportion_parameter|KC.U6.02.one_prop_ci_procedure_selection|KC.U6.07.one_prop_ci_interpret|KC.U6.09.ci_claim_plausibility|KC.U6.11.one_prop_test_procedure_selection|KC.U6.12.one_prop_hypotheses|KC.U6.13.one_prop_test_conditions|KC.U6.14.one_prop_test_statistic|KC.U6.15.p_value_calculate_interpret|KC.U6.16.hypothesis_test_decision_conclusion|KC.U6.18.type_i_error|KC.U6.20.significance_level_alpha|KC.U6.28.two_prop_test_procedure_selection|KC.U6.29.two_prop_hypotheses|KC.U7.01.mean_inference_procedure_selection|KC.U7.04.one_sample_t_interval_conditions|KC.U7.11.matched_pairs_t_test_procedure_selection|KC.U7.12.mean_hypotheses|KC.U7.13.t_test_conditions|KC.U7.14.t_test_statistic_mean|KC.U7.15.p_value_interpretation_mean|KC.U7.16.t_test_decision_conclusion|KC.U7.18.two_sample_t_interval_procedure_selection|KC.U7.20.two_sample_t_interval_compute_interpret|KC.U7.21.two_sample_t_interval_claim_plausibility|KC.U7.28.parameter_statistic_mean_inference_language|KC.U8.02.gof_procedure_selection|KC.U8.03.gof_null_alternative_hypotheses|KC.U8.12.two_way_expected_counts|KC.U8.13.homogeneity_procedure_selection|KC.U8.14.independence_procedure_selection|KC.U8.15.homogeneity_vs_independence_distinction|KC.U8.18.two_way_chi_square_conditions|KC.U8.19.two_way_degrees_freedom|KC.U8.20.two_way_test_statistic|KC.U8.21.two_way_p_value_interpretation|KC.U8.23.generalization_scope_chi_square|KC.U9.02.population_regression_slope_parameter|KC.U9.03.regression_output_slope_se_df|KC.U9.04.slope_ci_critical_value_margin_error|KC.U9.06.slope_ci_interpret_context|KC.U9.07.slope_ci_claim_evaluation|KC.U9.08.regression_linearity_condition|KC.U9.14.slope_test_hypotheses|KC.U9.16.slope_test_pvalue_interpret|KC.U9.17.slope_test_decision_conclusion|KC.U9.18.scatterplot_for_regression_inference|KC.U9.19.lsrl_equation_from_data|KC.U9.20.regression_inference_scope_and_prediction_language,2026-04-10