rank,modeling_kc_id,modeling_kc_label,unit,unit_description,topic_group,weight,tier,estimated_exam_share_pct,unit_exam_weighting,direct_dependents,downstream_dependents,weighted_direct_edge_count,num_primary_items,num_student_records,mean_percent_score,weight_rationale,2026_27_revision_note
1,MKC.U4.01.probability_foundations_simulation,Probability foundations and simulation,Unit 4,"Probability, Random Variables, and Probability Distributions",Probability foundations,100,Tier 1: critical,3.53,10%–20%,4,26,4,43,1519,0.5918,foundation for 26 downstream MKCs; high AP unit weighting; aligns with high-weight probability/simulation skill,
2,MKC.U1.04.summary_statistics_outliers,"Summary statistics, percentiles, and outliers",Unit 1,Exploring One-Variable Data,Summary statistics,96,Tier 1: critical,3.78,15%–23%,3,33,6,24,910,0.5824,foundation for 33 downstream MKCs; high AP unit weighting,
3,MKC.U6.02.one_prop_hypothesis_tests,One-proportion hypothesis tests,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,96,Tier 1: critical,3.69,12%–15%,7,13,14,40,1407,0.489,directly supports 7 MKCs; high AP unit weighting,
4,MKC.U1.03.quantitative_displays_description,Quantitative displays and distribution description,Unit 1,Exploring One-Variable Data,Quantitative displays,92,Tier 1: critical,3.15,15%–23%,4,33,4,18,617,0.5673,foundation for 33 downstream MKCs; high AP unit weighting,
5,MKC.U1.01.data_context_variables,Data context and variable classification,Unit 1,Exploring One-Variable Data,Data foundations,89,Tier 1: critical,2.42,15%–23%,4,41,4,11,346,0.6257,foundation for 41 downstream MKCs; high AP unit weighting,
6,MKC.U1.06.normal_distribution_calculations,Normal distribution modeling and calculations,Unit 1,Exploring One-Variable Data,Normal distributions,86,Tier 1: critical,3.46,15%–23%,2,25,4,21,720,0.5396,foundation for 25 downstream MKCs; high AP unit weighting,
7,MKC.U3.01.population_sampling_methods,Populations and sampling methods,Unit 3,Collecting Data,Data collection,86,Tier 1: critical,3.75,12%–15%,3,25,5,31,1214,0.5437,foundation for 25 downstream MKCs; high AP unit weighting,
8,MKC.U1.05.standardization_transformations,Standardization and linear transformations,Unit 1,Exploring One-Variable Data,Transformations,82,Tier 2: high,2.94,15%–23%,2,25,3,16,794,0.5705,foundation for 25 downstream MKCs; high AP unit weighting,
9,MKC.U5.01.normal_simulation_estimators,"Normal models, simulation, and estimators",Unit 5,Sampling Distributions,Sampling-distribution foundations,79,Tier 2: high,2.94,7%–12%,4,21,4,31,889,0.5714,foundation for 21 downstream MKCs; aligns with high-weight probability/simulation skill,
10,MKC.U4.02.conditional_compound_independence,"Conditional, compound, and independent-event probability",Unit 4,"Probability, Random Variables, and Probability Distributions",Conditional probability,78,Tier 2: high,2.77,10%–20%,3,3,5,29,898,0.5312,high AP unit weighting; aligns with high-weight probability/simulation skill,
11,MKC.U4.03.random_variables_expected_value,"Random variables, probability distributions, and expected value",Unit 4,"Probability, Random Variables, and Probability Distributions",Random variables,78,Tier 2: high,3.8,10%–20%,0,0,0,48,1423,0.558,high AP unit weighting; aligns with high-weight probability/simulation skill,
12,MKC.U6.01.one_prop_confidence_intervals,One-proportion confidence intervals,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,76,Tier 2: high,3.04,12%–15%,2,13,4,30,899,0.5078,moderate graph centrality (13 downstream); high AP unit weighting,
13,MKC.U4.04.binomial_model,Binomial model,Unit 4,"Probability, Random Variables, and Probability Distributions",Binomial distributions,74,Tier 2: high,2.66,10%–20%,2,2,2,27,995,0.5382,high AP unit weighting; aligns with high-weight probability/simulation skill,
14,MKC.U7.05.two_sample_t_tests,Two-sample t-tests,Unit 7,Inference for Quantitative Data: Means,Inference for means,71,Tier 2: high,2.38,10%–18%,4,7,4,15,974,0.4651,directly supports 4 MKCs; high AP unit weighting,
15,MKC.U1.02.categorical_tables_displays,"Categorical tables, displays, and association",Unit 1,Exploring One-Variable Data,Categorical data,70,Tier 2: high,3.25,15%–23%,1,7,1,19,498,0.6205,moderate graph centrality (7 downstream); high AP unit weighting,
16,MKC.U7.03.one_sample_t_tests,One-sample and matched-pairs t-tests,Unit 7,Inference for Quantitative Data: Means,Inference for means,69,Tier 3: medium-high,3.93,10%–18%,0,0,0,31,802,0.4401,high AP unit weighting,
17,MKC.U5.04.sample_mean_sampling_distribution,Sampling distribution of a sample mean,Unit 5,Sampling Distributions,Sample means,66,Tier 3: medium-high,1.82,7%–12%,5,9,9,15,622,0.5193,directly supports 5 MKCs; aligns with high-weight probability/simulation skill,
18,MKC.U6.03.errors_alpha_power,"Type I/II error, alpha, beta, and power",Unit 6,Inference for Categorical Data: Proportions,Errors and power,66,Tier 3: medium-high,2.45,12%–15%,2,2,6,21,836,0.4671,high AP unit weighting,
19,MKC.U7.01.t_intervals_mean_foundations,t-distribution and one-sample mean intervals,Unit 7,Inference for Quantitative Data: Means,Inference for means,65,Tier 3: medium-high,2.86,10%–18%,1,3,2,20,725,0.4807,high AP unit weighting,
20,MKC.U3.02.bias_and_generalization,Bias and scope of generalization,Unit 3,Collecting Data,Data collection,63,Tier 3: medium-high,2.89,12%–15%,2,4,2,21,815,0.5448,high AP unit weighting,
21,MKC.U4.05.geometric_model,Geometric model and binomial/geometric choice,Unit 4,"Probability, Random Variables, and Probability Distributions",Geometric distributions,63,Tier 3: medium-high,2.23,10%–20%,0,0,0,19,548,0.5511,high AP unit weighting; aligns with high-weight probability/simulation skill,2026-27 AP revision removes geometric distribution; lower if targeting May 2027+ only.
22,MKC.U5.02.sample_proportion_sampling_distribution,Sampling distribution of a sample proportion,Unit 5,Sampling Distributions,Sample proportions,63,Tier 3: medium-high,1.39,7%–12%,3,20,7,9,402,0.5908,foundation for 20 downstream MKCs; aligns with high-weight probability/simulation skill,
23,MKC.U7.04.two_sample_t_intervals,Two-sample t confidence intervals,Unit 7,Inference for Quantitative Data: Means,Inference for means,58,Tier 3: medium-high,1.9,10%–18%,1,7,1,10,305,0.441,moderate graph centrality (7 downstream); high AP unit weighting,
24,MKC.U3.04.random_assignment_causation_design,"Random assignment, replication, and causal conclusions",Unit 3,Collecting Data,Experimental design,57,Tier 3: medium-high,2.54,12%–15%,1,1,3,17,695,0.4871,high AP unit weighting,
25,MKC.U3.05.blocking_matching_blinding_confounding,"Blocking, matched pairs, blinding, and confounding",Unit 3,Collecting Data,Experimental design,57,Tier 3: medium-high,2.63,12%–15%,1,1,3,18,497,0.4909,high AP unit weighting,
26,MKC.U6.05.two_prop_hypothesis_tests,Two-proportion hypothesis tests,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,56,Tier 3: medium-high,2.39,12%–15%,0,0,0,20,561,0.4768,high AP unit weighting,
27,MKC.U6.04.two_prop_confidence_intervals,Two-proportion confidence intervals,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,55,Tier 3: medium-high,1.93,12%–15%,1,1,2,13,375,0.5213,high AP unit weighting,
28,MKC.U5.03.diff_proportions_sampling_distribution,Sampling distribution of a difference in sample proportions,Unit 5,Sampling Distributions,Difference in proportions,54,Tier 3: medium-high,2.1,7%–12%,1,2,3,19,472,0.5032,aligns with high-weight probability/simulation skill,
29,MKC.U7.02.matched_pairs_mean_inference,Matched-pairs inference for means,Unit 7,Inference for Quantitative Data: Means,Inference for means,49,Tier 4: medium,1.32,10%–18%,1,1,1,4,266,0.4549,high AP unit weighting,
30,MKC.U3.03.study_type_variables_units,"Study type, variables, treatments, and experimental units",Unit 3,Collecting Data,Study structure,47,Tier 4: medium,1.68,12%–15%,1,2,2,7,247,0.4899,high AP unit weighting,
31,MKC.U7.06.multiple_comparisons_family_error,Multiple comparisons and family error rate,Unit 7,Inference for Quantitative Data: Means,Multiple comparisons,47,Tier 4: medium,1.61,10%–18%,0,0,0,7,164,0.4207,high AP unit weighting,
32,MKC.U5.05.diff_means_sampling_distribution,Sampling distribution of a difference in sample means,Unit 5,Sampling Distributions,Difference in means,40,Tier 4: medium,1.25,7%–12%,0,0,0,7,169,0.574,aligns with high-weight probability/simulation skill,
33,MKC.U2.01.two_way_categorical_association,Two-way categorical association,Unit 2,Exploring Two-Variable Data,Two-variable categorical data,36,Tier 4: medium,1.65,5%–7%,2,6,2,25,622,0.5498,specialized topic with limited downstream dependence,
34,MKC.U8.02.chi_square_two_way_structure,"Two-way chi-square structure, hypotheses, and conditions",Unit 8,Inference for Categorical Data: Chi-Square,Chi-square inference,35,Tier 4: medium,1.35,2%–5%,1,1,3,26,805,0.4758,low AP unit weighting,
35,MKC.U2.02.scatterplots_and_association,Scatterplots and association description,Unit 2,Exploring Two-Variable Data,Scatterplots,34,Tier 4: medium,0.81,5%–7%,4,9,7,7,349,0.5458,directly supports 4 MKCs,
36,MKC.U2.03.correlation_form_outliers_transform,"Correlation, form, outliers, and transformations",Unit 2,Exploring Two-Variable Data,Correlation and form,34,Tier 4: medium,1.37,5%–7%,2,4,4,19,818,0.5348,specialized topic with limited downstream dependence,
37,MKC.U2.05.residuals_r2_model_diagnostics,"Residuals, r-squared, and model diagnostics",Unit 2,Exploring Two-Variable Data,Regression diagnostics,32,Tier 4: medium,1.27,5%–7%,2,4,3,17,593,0.4975,specialized topic with limited downstream dependence,
38,MKC.U8.01.chi_square_gof,Chi-square goodness-of-fit tests,Unit 8,Inference for Categorical Data: Chi-Square,Chi-square inference,32,Tier 4: medium,1.25,2%–5%,1,2,1,23,558,0.5556,low AP unit weighting,2026-27 AP revision removes chi-square goodness-of-fit; lower if targeting May 2027+ only.
39,MKC.U9.01.slope_inference_foundations_ci,Regression slope inference foundations and confidence intervals,Unit 9,Inference for Quantitative Data: Slopes,Inference for regression slope,32,Tier 4: medium,1.21,2%–5%,1,2,3,17,590,0.5619,low AP unit weighting,2026-27 AP revision removes Unit 9 slope inference; lower if targeting May 2027+ only.
40,MKC.U9.02.regression_conditions_diagnostics_scope,"Regression inference conditions, diagnostics, and scope",Unit 9,Inference for Quantitative Data: Slopes,Inference for regression slope,32,Tier 4: medium,1.17,2%–5%,1,2,5,16,478,0.5565,low AP unit weighting,2026-27 AP revision removes Unit 9 slope inference; lower if targeting May 2027+ only.
41,MKC.U9.03.slope_hypothesis_tests,Regression slope hypothesis tests,Unit 9,Inference for Quantitative Data: Slopes,Inference for regression slope,29,Tier 5: low / enrichment,1.12,2%–5%,1,2,1,15,378,0.5146,low AP unit weighting,2026-27 AP revision removes Unit 9 slope inference; lower if targeting May 2027+ only.
42,MKC.U2.04.regression_prediction_interpretation,Regression prediction and coefficient interpretation,Unit 2,Exploring Two-Variable Data,Least-squares regression,28,Tier 5: low / enrichment,0.9,5%–7%,2,5,3,9,466,0.5515,specialized topic with limited downstream dependence,
43,MKC.U8.03.chi_square_two_way_calculation_conclusion,"Two-way chi-square statistic, p-value, and conclusion",Unit 8,Inference for Categorical Data: Chi-Square,Chi-square inference,24,Tier 5: low / enrichment,0.91,2%–5%,0,0,0,13,449,0.4588,low AP unit weighting,
44,MKC.U10.04.power_typeii_tradeoffs,"Power, Type II error, and alpha-beta tradeoffs",Unit 10,Local enrichment: bootstrap/effect size/power extensions,Power and testing extensions,18,Tier 5: low / enrichment,0.74,Not official AP unit; 2% proxy used,0,0,0,21,576,0.4922,low AP unit weighting; enrichment/off-CED proxy,Not an official current AP unit; keep for local enrichment/adaptive extension.
45,MKC.U10.01.bootstrap_process_distribution,Bootstrap process and bootstrap distributions,Unit 10,Local enrichment: bootstrap/effect size/power extensions,Resampling and extension topics,14,Tier 5: low / enrichment,0.56,Not official AP unit; 2% proxy used,1,1,1,14,395,0.5203,low AP unit weighting; enrichment/off-CED proxy,Not an official current AP unit; keep for local enrichment/adaptive extension.
46,MKC.U10.02.bootstrap_intervals,Bootstrap percentile intervals,Unit 10,Local enrichment: bootstrap/effect size/power extensions,Resampling and extension topics,6,Tier 5: low / enrichment,0.38,Not official AP unit; 2% proxy used,0,0,0,7,163,0.4387,low AP unit weighting; enrichment/off-CED proxy,Not an official current AP unit; keep for local enrichment/adaptive extension.
47,MKC.U10.03.effect_size_practical_importance,Effect size and practical importance,Unit 10,Local enrichment: bootstrap/effect size/power extensions,Resampling and extension topics,1,Tier 5: low / enrichment,0.33,Not official AP unit; 2% proxy used,0,0,0,5,115,0.4826,low AP unit weighting; enrichment/off-CED proxy,Not an official current AP unit; keep for local enrichment/adaptive extension.